/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2


Epoch:   0 | Loss: 0.6089 | Valid loss: 0.6214 | F1 : 0.6613 | Valid F1: 0.6342


Epoch:   1 | Loss: 0.5546 | Valid loss: 0.588 | F1 : 0.729 | Valid F1: 0.6913


Epoch:   2 | Loss: 0.525 | Valid loss: 0.5765 | F1 : 0.7471 | Valid F1: 0.6999


Epoch:   3 | Loss: 0.5045 | Valid loss: 0.5729 | F1 : 0.7589 | Valid F1: 0.7066


Epoch:   4 | Loss: 0.4847 | Valid loss: 0.5697 | F1 : 0.7699 | Valid F1: 0.7098


Epoch:   5 | Loss: 0.4662 | Valid loss: 0.5679 | F1 : 0.7831 | Valid F1: 0.7116


Epoch:   6 | Loss: 0.4491 | Valid loss: 0.5687 | F1 : 0.7933 | Valid F1: 0.7143


Epoch:   7 | Loss: 0.434 | Valid loss: 0.5724 | F1 : 0.8011 | Valid F1: 0.7149


Epoch:   8 | Loss: 0.4198 | Valid loss: 0.5792 | F1 : 0.809 | Valid F1: 0.7099


Epoch:   9 | Loss: 0.4062 | Valid loss: 0.5874 | F1 : 0.8154 | Valid F1: 0.7094
Evaluating Test Dataset
Test F1: 0.7089 | Test Acc: 0.71 


Epoch:   0 | Loss: 1.602 | Valid loss: 1.537 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   1 | Loss: 1.535 | Valid loss: 1.483 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   2 | Loss: 1.488 | Valid loss: 1.451 | F1 : 0.09844 | Valid F1: 0.1191


Epoch:   3 | Loss: 1.437 | Valid loss: 1.428 | F1 : 0.119 | Valid F1: 0.1191


Epoch:   4 | Loss: 1.36 | Valid loss: 1.405 | F1 : 0.1845 | Valid F1: 0.177


Epoch:   5 | Loss: 1.299 | Valid loss: 1.442 | F1 : 0.2173 | Valid F1: 0.1951


Epoch:   6 | Loss: 1.182 | Valid loss: 1.446 | F1 : 0.2653 | Valid F1: 0.2237


Epoch:   7 | Loss: 1.163 | Valid loss: 1.602 | F1 : 0.2757 | Valid F1: 0.2038


Epoch:   8 | Loss: 0.7962 | Valid loss: 1.24 | F1 : 0.469 | Valid F1: 0.3206


Epoch:   9 | Loss: 0.6811 | Valid loss: 1.382 | F1 : 0.615 | Valid F1: 0.3668


Epoch:  10 | Loss: 0.6257 | Valid loss: 1.585 | F1 : 0.672 | Valid F1: 0.3691


Epoch:  11 | Loss: 0.5307 | Valid loss: 1.652 | F1 : 0.7333 | Valid F1: 0.4289


Epoch:  12 | Loss: 0.6496 | Valid loss: 1.924 | F1 : 0.6821 | Valid F1: 0.336


Epoch:  13 | Loss: 0.3928 | Valid loss: 1.689 | F1 : 0.8038 | Valid F1: 0.3968


Epoch:  14 | Loss: 0.2743 | Valid loss: 1.719 | F1 : 0.8742 | Valid F1: 0.4615


Epoch:  15 | Loss: 0.35 | Valid loss: 1.94 | F1 : 0.8312 | Valid F1: 0.4412


Epoch:  16 | Loss: 0.2111 | Valid loss: 1.849 | F1 : 0.9075 | Valid F1: 0.4332


