/cluster/raid/home/zhivar.sourati/Advanced_NLP_course_HW2
Training simple Neural Network on Products dataset


Epoch:   0 | Loss: 0.5946 | Valid loss: 0.6087 | F1 : 0.6865 | Valid F1: 0.6595


Epoch:   1 | Loss: 0.546 | Valid loss: 0.5873 | F1 : 0.7328 | Valid F1: 0.6897


Epoch:   2 | Loss: 0.5183 | Valid loss: 0.5805 | F1 : 0.7518 | Valid F1: 0.7021


Epoch:   3 | Loss: 0.495 | Valid loss: 0.5755 | F1 : 0.7675 | Valid F1: 0.7057


Epoch:   4 | Loss: 0.478 | Valid loss: 0.5755 | F1 : 0.7769 | Valid F1: 0.7037


Epoch:   5 | Loss: 0.465 | Valid loss: 0.5788 | F1 : 0.7841 | Valid F1: 0.7031


Epoch:   6 | Loss: 0.4538 | Valid loss: 0.5839 | F1 : 0.7903 | Valid F1: 0.7036


Epoch:   7 | Loss: 0.4435 | Valid loss: 0.5902 | F1 : 0.7957 | Valid F1: 0.7023


Epoch:   8 | Loss: 0.4335 | Valid loss: 0.5975 | F1 : 0.8002 | Valid F1: 0.7048


Epoch:   9 | Loss: 0.4234 | Valid loss: 0.6058 | F1 : 0.8067 | Valid F1: 0.7064
Evaluating Test Dataset
Test F1: 0.7095 | Test Acc: 0.7089 
Training simple Neural Network on 4dim dataset


Epoch:   0 | Loss: 1.357 | Valid loss: 1.352 | F1 : 0.2759 | Valid F1: 0.2964


Epoch:   1 | Loss: 1.344 | Valid loss: 1.343 | F1 : 0.2513 | Valid F1: 0.2546


Epoch:   2 | Loss: 1.33 | Valid loss: 1.332 | F1 : 0.2798 | Valid F1: 0.261


Epoch:   3 | Loss: 1.314 | Valid loss: 1.322 | F1 : 0.3008 | Valid F1: 0.3014


Epoch:   4 | Loss: 1.298 | Valid loss: 1.311 | F1 : 0.3254 | Valid F1: 0.3026


Epoch:   5 | Loss: 1.282 | Valid loss: 1.3 | F1 : 0.3456 | Valid F1: 0.2986


Epoch:   6 | Loss: 1.265 | Valid loss: 1.289 | F1 : 0.3781 | Valid F1: 0.3124


Epoch:   7 | Loss: 1.247 | Valid loss: 1.278 | F1 : 0.4102 | Valid F1: 0.3342


Epoch:   8 | Loss: 1.228 | Valid loss: 1.267 | F1 : 0.4514 | Valid F1: 0.3581


Epoch:   9 | Loss: 1.208 | Valid loss: 1.255 | F1 : 0.4861 | Valid F1: 0.3581


Epoch:  10 | Loss: 1.187 | Valid loss: 1.243 | F1 : 0.5231 | Valid F1: 0.3628


Epoch:  11 | Loss: 1.164 | Valid loss: 1.23 | F1 : 0.559 | Valid F1: 0.3629


Epoch:  12 | Loss: 1.139 | Valid loss: 1.217 | F1 : 0.5933 | Valid F1: 0.364


Epoch:  13 | Loss: 1.113 | Valid loss: 1.203 | F1 : 0.6242 | Valid F1: 0.3805


Epoch:  14 | Loss: 1.085 | Valid loss: 1.189 | F1 : 0.6526 | Valid F1: 0.3847


Epoch:  15 | Loss: 1.056 | Valid loss: 1.174 | F1 : 0.6802 | Valid F1: 0.3864


